Date,Revenue
1/1/2009,943690
2/1/2009,1062565
3/1/2009,210079
4/1/2009,-735286
5/1/2009,842933
6/1/2009,358691
7/1/2009,914953
8/1/2009,723427
9/1/2009,-837468
10/1/2009,-146929
11/1/2009,831730
12/1/2009,917752
1/1/2010,800038
2/1/2010,1117103
3/1/2010,181220
4/1/2010,120968
5/1/2010,844012
6/1/2010,307468
7/1/2010,502341
8/1/2010,-748679
9/1/2010,-1063151
10/1/2010,111367
11/1/2010,889322
12/1/2010,1028794
1/1/2011,-705201
2/1/2011,457393
3/1/2011,358440
4/1/2011,110092
5/1/2011,1111337
6/1/2011,691712
7/1/2011,669603
8/1/2011,527608
9/1/2011,1057492
10/1/2011,109267
11/1/2011,1106492
12/1/2011,531744
1/1/2012,1134360
2/1/2012,-401260
3/1/2012,1141606
4/1/2012,594289
5/1/2012,51905
6/1/2012,415204
7/1/2012,467130
8/1/2012,270918
9/1/2012,589902
10/1/2012,1056793
11/1/2012,250079
12/1/2012,91344
1/1/2013,431100
2/1/2013,801964
3/1/2013,50115
4/1/2013,525242
5/1/2013,55136
6/1/2013,-497774
7/1/2013,360731
8/1/2013,391243
9/1/2013,339680
10/1/2013,809253
11/1/2013,924494
12/1/2013,998347
1/1/2014,-524902
2/1/2014,747765
3/1/2014,197783
4/1/2014,131625
5/1/2014,1016992
6/1/2014,-930753
7/1/2014,714387
8/1/2014,201005
9/1/2014,655535
10/1/2014,845108
11/1/2014,101736
12/1/2014,-93063
1/1/2015,984921
2/1/2015,-362343
3/1/2015,940457
4/1/2015,216399
5/1/2015,363036
6/1/2015,672160
7/1/2015,783533
8/1/2015,1079882
9/1/2015,288933
10/1/2015,894500
11/1/2015,411593
12/1/2015,789575
1/1/2016,355838
2/1/2016,437489
